cust,date,region
a100000991,1/12/2018,Facebook
a100000991,1/02/2018,House Ads
a100000992,1/12/2018,House Ads
a100000992,1/03/2018,House Ads
a100000993,1/01/2018,Instagram
a100000993,1/12/2018,House Ads
a100000993,1/03/2018,House Ads
a100000994,1/02/2018,Instagram
a100000994,1/12/2018,House Ads
a100000994,1/03/2018,House Ads
a100000995,1/03/2018,Facebook
a100000995,1/12/2018,Push
a100000995,1/03/2018,House Ads
a100000996,1/04/2018,Instagram
a100000996,1/12/2018,Facebook
a100000996,1/03/2018,House Ads
a100000997,1/05/2018,Instagram
a100000997,1/03/2018,House Ads
a100000998,1/06/2018,Facebook
a100000998,1/03/2018,House Ads
a100000999,1/07/2018,Instagram
a100000999,1/02/2018,House Ads
a100001000,1/08/2018,Instagram
a100001000,1/04/2018,House Ads
a100001001,1/08/2018,Instagram
a100001001,1/04/2018,House Ads
a100001002,1/08/2018,Facebook
a100001002,1/05/2018,House Ads
a100001003,1/09/2018,House Ads
a100001003,1/05/2018,House Ads
a100001004,1/09/2018,House Ads
a100001004,1/05/2018,House Ads
a100001005,1/09/2018,Push
a100001005,1/05/2018,House Ads
a100001006,1/09/2018,Facebook
a100001006,1/05/2018,House Ads
a100001007,1/09/2018,Instagram
a100001007,1/05/2018,House Ads
a100001008,1/09/2018,Instagram
a100001008,1/05/2018,House Ads
a100001009,1/09/2018,Facebook
a100001009,1/06/2018,House Ads
a100001010,1/10/2018,House Ads
a100001010,1/06/2018,House Ads
a100001011,1/10/2018,House Ads
a100001011,1/06/2018,House Ads
a100001012,1/10/2018,Push
a100001012,1/06/2018,House Ads
a100001013,1/10/2018,Facebook
a100001013,1/06/2018,House Ads
a100001014,1/10/2018,Instagram
a100001014,1/06/2018,House Ads
a100001015,1/10/2018,Instagram
a100001015,1/06/2018,House Ads
a100001016,1/10/2018,Facebook
a100001016,1/07/2018,House Ads
a100001017,1/11/2018,House Ads
a100001017,1/07/2018,House Ads
a100001018,1/11/2018,House Ads
a100001018,1/07/2018,House Ads
a100001019,1/11/2018,Push
a100001019,1/07/2018,House Ads
a100001020,1/11/2018,Facebook
a100001020,1/07/2018,House Ads
a100001021,1/11/2018,Instagram
a100001021,1/07/2018,House Ads
a100001022,1/11/2018,Instagram
a100001022,1/08/2018,House Ads
a100001023,1/11/2018,Facebook
a100001023,1/08/2018,House Ads
a100001024,1/12/2018,House Ads
a100001024,1/08/2018,House Ads
a100001025,1/12/2018,House Ads
a100001025,1/08/2018,House Ads
a100001026,1/12/2018,Push
a100001026,1/08/2018,House Ads
a100001027,1/12/2018,Facebook
a100001027,1/08/2018,House Ads
a100001028,1/12/2018,Instagram
a100001028,1/08/2018,House Ads
a100001029,1/12/2018,Instagram
a100001029,1/09/2018,House Ads
a100001030,1/12/2018,Facebook
a100001030,1/09/2018,House Ads
a100001031,1/09/2018,House Ads
a100001032,1/09/2018,House Ads
a100001033,1/09/2018,House Ads
a100001034,1/09/2018,House Ads
a100001035,1/09/2018,House Ads
a100001036,1/10/2018,House Ads
a100001037,1/10/2018,House Ads
a100001038,1/10/2018,House Ads
a100001039,1/10/2018,House Ads
a100001040,1/10/2018,House Ads
a100001041,1/10/2018,House Ads
a100001042,1/10/2018,House Ads
a100001043,1/11/2018,House Ads
a100001044,1/08/2018,Email
a100001044,1/02/2018,House Ads
a100001045,1/09/2018,Push
a100001045,1/02/2018,House Ads
a100001046,1/10/2018,Facebook
a100001046,1/02/2018,House Ads
a100001047,1/11/2018,Instagram
a100001047,1/02/2018,House Ads
a100001048,1/12/2018,Instagram
a100001048,1/02/2018,House Ads
a100001049,1/02/2018,House Ads
a100001050,1/02/2018,House Ads
a100001051,1/02/2018,House Ads
a100001052,1/03/2018,House Ads
a100001053,1/03/2018,House Ads
a100001055,1/01/2018,Push
a100001056,1/02/2018,Facebook
a100001057,1/03/2018,Instagram
a100001058,1/04/2018,Instagram
a100001059,1/05/2018,Facebook
a100001060,1/06/2018,Instagram
a100001061,1/07/2018,Instagram
a100001062,1/08/2018,Facebook
a100001063,1/09/2018,Instagram
a100001064,1/10/2018,Email
a100001065,1/11/2018,Push
a100001066,1/12/2018,Facebook
a100001073,1/01/2018,Instagram
a100001074,1/02/2018,Email
a100001075,1/03/2018,Push
a100001076,1/04/2018,Facebook
a100001077,1/05/2018,Instagram
a100001078,1/06/2018,Instagram
a100001079,1/07/2018,Facebook
a100001080,1/08/2018,Instagram
a100001081,1/09/2018,Instagram
a100001082,1/10/2018,Facebook
a100001089,1/11/2018,Instagram
a100001090,1/12/2018,Email
a100001115,1/01/2018,Facebook
a100001116,1/02/2018,Instagram
a100001117,1/03/2018,Instagram
a100001118,1/04/2018,Facebook
a100001119,1/05/2018,Instagram
a100001120,1/06/2018,Email
a100001121,1/07/2018,Push
a100001122,1/08/2018,Facebook
a100001123,1/09/2018,Instagram
a100001124,1/10/2018,Facebook
a100001125,1/11/2018,Instagram
a100001126,1/12/2018,Instagram
a100001131,1/01/2018,Push
a100001132,1/01/2018,Facebook
a100001133,1/01/2018,Facebook
a100001133,1/01/2018,Instagram
a100001134,1/02/2018,Instagram
a100001134,1/01/2018,Instagram
a100001135,1/03/2018,Instagram
a100001135,1/01/2018,Facebook
a100001136,1/04/2018,Facebook
a100001136,1/01/2018,House Ads
a100001137,1/05/2018,Instagram
a100001137,1/01/2018,House Ads
a100001138,1/06/2018,Email
a100001138,1/02/2018,House Ads
a100001139,1/01/2018,Push
a100001139,1/02/2018,Push
a100001140,1/01/2018,Facebook
a100001140,1/02/2018,Facebook
a100001141,1/01/2018,Instagram
a100001141,1/02/2018,Instagram
a100001142,1/01/2018,Facebook
a100001142,1/02/2018,Instagram
a100001143,1/01/2018,Instagram
a100001143,1/02/2018,Facebook
a100001144,1/02/2018,Instagram
a100001144,1/02/2018,House Ads
a100001145,1/02/2018,Facebook
a100001145,1/03/2018,House Ads
a100001146,1/02/2018,Instagram
a100001146,1/03/2018,House Ads
a100001147,1/02/2018,Email
a100001147,1/03/2018,Push
a100001148,1/02/2018,Push
a100001148,1/03/2018,Facebook
a100001149,1/03/2018,Facebook
a100001149,1/03/2018,Instagram
a100001150,1/03/2018,Instagram
a100001150,1/03/2018,Instagram
a100001151,1/03/2018,Facebook
a100001151,1/03/2018,Facebook
a100001152,1/03/2018,Instagram
a100001152,1/04/2018,House Ads
a100001153,1/03/2018,Instagram
a100001153,1/04/2018,House Ads
a100001154,1/04/2018,Facebook
a100001154,1/04/2018,House Ads
a100001155,1/04/2018,Instagram
a100001155,1/04/2018,Push
a100001156,1/04/2018,Email
a100001156,1/04/2018,Facebook
a100001157,1/04/2018,Push
a100001157,1/04/2018,Instagram
a100001158,1/04/2018,Facebook
a100001158,1/04/2018,Instagram
a100001159,1/04/2018,Instagram
a100001159,1/05/2018,Facebook
a100001160,1/05/2018,Facebook
a100001160,1/05/2018,House Ads
a100001161,1/05/2018,Instagram
a100001161,1/05/2018,House Ads
a100001162,1/05/2018,Instagram
a100001162,1/05/2018,House Ads
a100001163,1/05/2018,Facebook
a100001163,1/05/2018,Push
a100001164,1/05/2018,Instagram
a100001164,1/05/2018,Facebook
a100001165,1/06/2018,Email
a100001165,1/05/2018,Instagram
a100001166,1/06/2018,Push
a100001166,1/06/2018,Instagram
a100001167,1/06/2018,Facebook
a100001167,1/06/2018,Facebook
a100001168,1/06/2018,Instagram
a100001168,1/06/2018,House Ads
a100001169,1/06/2018,Facebook
a100001169,1/06/2018,House Ads
a100001170,1/07/2018,Instagram
a100001170,1/06/2018,House Ads
a100001171,1/07/2018,Instagram
a100001171,1/06/2018,Push
a100001172,1/07/2018,Facebook
a100001172,1/06/2018,Facebook
a100001173,1/07/2018,Instagram
a100001173,1/07/2018,Instagram
a100001174,1/07/2018,Email
a100001174,1/07/2018,Instagram
a100001175,1/08/2018,Push
a100001175,1/07/2018,Facebook
a100001176,1/08/2018,Facebook
a100001176,1/07/2018,House Ads
a100001177,1/08/2018,Instagram
a100001177,1/07/2018,House Ads
a100001178,1/08/2018,Facebook
a100001178,1/07/2018,House Ads
a100001179,1/08/2018,Instagram
a100001179,1/08/2018,Push
a100001180,1/08/2018,Instagram
a100001180,1/08/2018,Facebook
a100001181,1/09/2018,Facebook
a100001181,1/08/2018,Instagram
a100001182,1/09/2018,Instagram
a100001182,1/08/2018,Instagram
a100001183,1/09/2018,Email
a100001183,1/08/2018,Facebook
a100001184,1/09/2018,Push
a100001184,1/08/2018,House Ads
a100001185,1/09/2018,Facebook
a100001185,1/08/2018,House Ads
a100001186,1/09/2018,Instagram
a100001186,1/09/2018,House Ads
a100001187,1/10/2018,Facebook
a100001187,1/09/2018,Push
a100001188,1/10/2018,Instagram
a100001188,1/09/2018,Facebook
a100001189,1/10/2018,Instagram
a100001189,1/09/2018,Instagram
a100001190,1/10/2018,Facebook
a100001190,1/09/2018,Instagram
a100001191,1/10/2018,Instagram
a100001191,1/09/2018,Facebook
a100001192,1/10/2018,Email
a100001192,1/09/2018,House Ads
a100001193,1/11/2018,Push
a100001193,1/10/2018,House Ads
a100001194,1/11/2018,Facebook
a100001194,1/10/2018,House Ads
a100001195,1/11/2018,Instagram
a100001195,1/10/2018,Push
a100001196,1/11/2018,Facebook
a100001196,1/10/2018,Facebook
a100001197,1/11/2018,Instagram
a100001197,1/10/2018,Instagram
a100001198,1/11/2018,Email
a100001198,1/10/2018,Instagram
a100001199,1/12/2018,Push
a100001199,1/10/2018,Facebook
a100001200,1/12/2018,Facebook
a100001200,1/11/2018,House Ads
a100001201,1/12/2018,Instagram
a100001201,1/11/2018,House Ads
a100001202,1/12/2018,Facebook
a100001202,1/11/2018,House Ads
a100001203,1/12/2018,Instagram
a100001203,1/11/2018,Push
a100001204,1/11/2018,Facebook
a100001205,1/11/2018,Instagram
a100001206,1/11/2018,Instagram
a100001207,1/12/2018,Facebook
a100001208,1/12/2018,House Ads
a100001209,1/12/2018,House Ads
a100001210,1/12/2018,House Ads
a100001211,1/12/2018,Push
a100001212,1/12/2018,Facebook
a100001213,1/12/2018,Instagram
a100001335,1/01/2018,Instagram
a100001336,1/02/2018,Email
a100001337,1/03/2018,Push
a100001338,1/04/2018,Facebook
a100001339,1/05/2018,Instagram
a100001340,1/06/2018,Facebook
a100001341,1/07/2018,Instagram
a100001342,1/08/2018,Instagram
a100001343,1/09/2018,Facebook
a100001344,1/10/2018,Instagram
a100001345,1/11/2018,Email
a100001346,1/12/2018,Push
a100001348,1/01/2018,Facebook
a100001349,1/01/2018,Instagram
a100001350,1/01/2018,Instagram
a100001351,1/01/2018,Facebook
a100001352,1/01/2018,House Ads
a100001353,1/01/2018,House Ads
a100001354,1/01/2018,House Ads
a100001355,1/02/2018,Push
a100001356,1/02/2018,Facebook
a100001357,1/02/2018,Instagram
a100001358,1/02/2018,Instagram
a100001359,1/02/2018,Facebook
a100001360,1/02/2018,House Ads
a100001361,1/02/2018,House Ads
a100001362,1/03/2018,House Ads
a100001363,1/03/2018,Push
a100001364,1/03/2018,Facebook
a100001365,1/03/2018,Instagram
a100001366,1/01/2018,Instagram
a100001366,1/03/2018,Instagram
a100001367,1/02/2018,Facebook
a100001367,1/03/2018,Facebook
a100001368,1/03/2018,Instagram
a100001368,1/03/2018,House Ads
a100001369,1/04/2018,Email
a100001369,1/04/2018,House Ads
a100001370,1/05/2018,Push
a100001370,1/04/2018,House Ads
a100001371,1/06/2018,Facebook
a100001371,1/04/2018,Push
a100001372,1/07/2018,Instagram
a100001372,1/04/2018,Facebook
a100001373,1/08/2018,Facebook
a100001373,1/04/2018,Instagram
a100001374,1/09/2018,Instagram
a100001374,1/04/2018,Instagram
a100001375,1/10/2018,Instagram
a100001375,1/04/2018,Facebook
a100001376,1/11/2018,Facebook
a100001376,1/05/2018,House Ads
a100001377,1/12/2018,Instagram
a100001377,1/05/2018,House Ads
a100001378,1/05/2018,House Ads
a100001379,1/05/2018,Push
a100001380,1/05/2018,Facebook
a100001381,1/05/2018,Instagram
a100001382,1/05/2018,Instagram
a100001383,1/06/2018,Facebook
a100001384,1/06/2018,House Ads
a100001385,1/06/2018,House Ads
a100001386,1/06/2018,House Ads
a100001387,1/06/2018,Push
a100001388,1/06/2018,Facebook
a100001389,1/06/2018,Instagram
a100001390,1/07/2018,Instagram
a100001391,1/07/2018,Facebook
a100001392,1/07/2018,House Ads
a100001393,1/07/2018,House Ads
a100001394,1/07/2018,House Ads
a100001395,1/07/2018,Push
a100001396,1/08/2018,Facebook
a100001397,1/08/2018,Instagram
a100001398,1/08/2018,Instagram
a100001399,1/08/2018,Facebook
a100001400,1/08/2018,House Ads
a100001401,1/08/2018,House Ads
a100001402,1/08/2018,House Ads
a100001403,1/09/2018,Push
a100001404,1/09/2018,Facebook
a100001405,1/09/2018,Instagram
a100001406,1/09/2018,Instagram
a100001407,1/09/2018,Facebook
a100001408,1/09/2018,House Ads
a100001409,1/09/2018,House Ads
a100001410,1/10/2018,House Ads
a100001411,1/10/2018,Push
a100001412,1/10/2018,Facebook
a100001413,1/10/2018,Instagram
a100001414,1/10/2018,Instagram
a100001415,1/10/2018,Facebook
a100001416,1/10/2018,House Ads
a100001417,1/11/2018,House Ads
a100001418,1/11/2018,House Ads
a100001419,1/11/2018,Push
a100001420,1/11/2018,Facebook
a100001421,1/11/2018,Instagram
a100001422,1/11/2018,Instagram
a100001423,1/11/2018,Facebook
a100001424,1/12/2018,House Ads
a100001425,1/12/2018,House Ads
a100001426,1/12/2018,House Ads
a100001427,1/12/2018,Push
a100001428,1/12/2018,Facebook
a100001429,1/12/2018,Instagram
a100001430,1/12/2018,Instagram
a100001565,1/01/2018,Instagram
a100001566,1/01/2018,Instagram
a100001567,1/01/2018,Facebook
a100001568,1/01/2018,House Ads
a100001569,1/01/2018,House Ads
a100001570,1/01/2018,House Ads
a100001571,1/01/2018,Push
a100001572,1/02/2018,Facebook
a100001573,1/02/2018,Instagram
a100001574,1/02/2018,Instagram
a100001575,1/02/2018,Facebook
a100001576,1/02/2018,House Ads
a100001577,1/02/2018,House Ads
a100001578,1/02/2018,House Ads
a100001579,1/03/2018,Push
a100001580,1/03/2018,Facebook
a100001581,1/03/2018,Instagram
a100001582,1/03/2018,Instagram
a100001583,1/03/2018,Facebook
a100001584,1/03/2018,House Ads
a100001585,1/03/2018,House Ads
a100001586,1/04/2018,House Ads
a100001587,1/04/2018,Push
a100001588,1/04/2018,Facebook
a100001589,1/04/2018,Instagram
a100001590,1/04/2018,Instagram
a100001591,1/04/2018,Facebook
a100001592,1/04/2018,House Ads
a100001593,1/05/2018,House Ads
a100001594,1/05/2018,House Ads
a100001595,1/05/2018,Push
a100001596,1/05/2018,Facebook
a100001597,1/05/2018,Instagram
a100001598,1/05/2018,Instagram
a100001599,1/05/2018,Facebook
a100001600,1/06/2018,House Ads
a100001601,1/06/2018,House Ads
a100001602,1/06/2018,House Ads
a100001603,1/06/2018,Push
a100001604,1/06/2018,Facebook
a100001605,1/06/2018,Instagram
a100001606,1/06/2018,Instagram
a100001607,1/07/2018,Facebook
a100001608,1/07/2018,House Ads
a100001609,1/07/2018,House Ads
a100001610,1/07/2018,House Ads
a100001611,1/07/2018,Push
a100001612,1/07/2018,Facebook
a100001613,1/08/2018,Instagram
a100001614,1/08/2018,Instagram
a100001615,1/08/2018,Facebook
a100001616,1/08/2018,House Ads
a100001617,1/08/2018,House Ads
a100001618,1/08/2018,House Ads
a100001619,1/08/2018,Push
a100001620,1/09/2018,Facebook
a100001621,1/09/2018,Instagram
a100001622,1/09/2018,Instagram
a100001623,1/09/2018,Facebook
a100001624,1/09/2018,House Ads
a100001625,1/09/2018,House Ads
a100001626,1/09/2018,House Ads
a100001627,1/10/2018,Push
a100001628,1/10/2018,Facebook
a100001629,1/10/2018,Instagram
a100001630,1/10/2018,Instagram
a100001631,1/10/2018,Facebook
a100001632,1/10/2018,House Ads
a100001633,1/10/2018,House Ads
a100001634,1/11/2018,House Ads
a100001635,1/11/2018,Push
a100001636,1/11/2018,Facebook
a100001637,1/11/2018,Instagram
a100001638,1/11/2018,Instagram
a100001639,1/11/2018,Facebook
a100001640,1/11/2018,House Ads
a100001641,1/12/2018,House Ads
a100001642,1/12/2018,House Ads
a100001643,1/12/2018,Push
a100001644,1/12/2018,Facebook
a100001645,1/12/2018,Instagram
a100001646,1/12/2018,Instagram
a100001647,1/12/2018,Facebook
a100001782,1/01/2018,Instagram
a100001783,1/01/2018,Facebook
a100001784,1/01/2018,House Ads
a100001785,1/01/2018,House Ads
a100001786,1/01/2018,House Ads
a100001787,1/01/2018,Push
a100001788,1/01/2018,Facebook
a100001789,1/02/2018,Instagram
a100001790,1/02/2018,Instagram
a100001791,1/02/2018,Facebook
a100001792,1/02/2018,House Ads
a100001793,1/02/2018,House Ads
a100001794,1/02/2018,House Ads
a100001795,1/02/2018,Push
a100001796,1/03/2018,Facebook
a100001797,1/03/2018,Instagram
a100001798,1/03/2018,Instagram
a100001799,1/03/2018,Facebook
a100001800,1/03/2018,House Ads
a100001801,1/03/2018,House Ads
a100001802,1/03/2018,House Ads
a100001803,1/04/2018,Push
a100001804,1/04/2018,Facebook
a100001805,1/04/2018,Instagram
a100001806,1/04/2018,Instagram
a100001807,1/04/2018,Facebook
a100001808,1/04/2018,House Ads
a100001809,1/04/2018,House Ads
a100001810,1/05/2018,House Ads
a100001811,1/05/2018,Push
a100001812,1/05/2018,Facebook
a100001813,1/05/2018,Instagram
a100001814,1/05/2018,Instagram
a100001815,1/05/2018,Facebook
a100001816,1/05/2018,House Ads
a100001817,1/06/2018,House Ads
a100001818,1/06/2018,House Ads
a100001819,1/06/2018,Push
a100001820,1/06/2018,Facebook
a100001820,1/01/2018,House Ads
a100001821,1/06/2018,Instagram
a100001821,1/02/2018,House Ads
a100001822,1/06/2018,Instagram
a100001822,1/03/2018,House Ads
a100001823,1/06/2018,Facebook
a100001823,1/04/2018,House Ads
a100001824,1/07/2018,House Ads
a100001824,1/05/2018,House Ads
a100001825,1/07/2018,House Ads
a100001825,1/06/2018,House Ads
a100001826,1/07/2018,House Ads
a100001826,1/07/2018,House Ads
a100001827,1/07/2018,Push
a100001827,1/08/2018,House Ads
a100001828,1/07/2018,Facebook
a100001828,1/09/2018,House Ads
a100001829,1/07/2018,Instagram
a100001829,1/10/2018,House Ads
a100001830,1/08/2018,Instagram
a100001830,1/11/2018,House Ads
a100001831,1/08/2018,Facebook
a100001831,1/12/2018,House Ads
a100001832,1/08/2018,House Ads
a100001833,1/08/2018,House Ads
a100001834,1/08/2018,House Ads
a100001835,1/08/2018,Push
a100001836,1/08/2018,Facebook
a100001837,1/09/2018,Instagram
a100001838,1/09/2018,Instagram
a100001839,1/09/2018,Facebook
a100001840,1/09/2018,House Ads
a100001841,1/09/2018,House Ads
a100001842,1/09/2018,House Ads
a100001843,1/09/2018,Push
a100001844,1/10/2018,Facebook
a100001845,1/10/2018,Instagram
a100001846,1/10/2018,Instagram
a100001847,1/10/2018,Facebook
a100001848,1/10/2018,House Ads
a100001849,1/10/2018,House Ads
a100001850,1/10/2018,House Ads
a100001851,1/11/2018,Push
a100001851,1/01/2018,House Ads
a100001852,1/11/2018,Facebook
a100001852,1/02/2018,House Ads
a100001853,1/11/2018,Instagram
a100001853,1/03/2018,House Ads
a100001854,1/11/2018,Instagram
a100001854,1/04/2018,House Ads
a100001855,1/11/2018,Facebook
a100001855,1/05/2018,House Ads
a100001856,1/11/2018,House Ads
a100001856,1/06/2018,House Ads
a100001857,1/11/2018,House Ads
a100001857,1/07/2018,House Ads
a100001858,1/12/2018,House Ads
a100001858,1/08/2018,House Ads
a100001859,1/12/2018,Push
a100001859,1/09/2018,House Ads
a100001860,1/12/2018,Facebook
a100001860,1/10/2018,House Ads
a100001861,1/12/2018,Instagram
a100001861,1/11/2018,House Ads
a100001862,1/12/2018,Instagram
a100001862,1/12/2018,House Ads
a100001863,1/12/2018,Facebook
a100001864,1/12/2018,House Ads
a100001882,1/01/2018,House Ads
a100001883,1/02/2018,House Ads
a100001884,1/03/2018,House Ads
a100001885,1/04/2018,House Ads
a100001886,1/05/2018,House Ads
a100001887,1/06/2018,House Ads
a100001888,1/07/2018,House Ads
a100001889,1/08/2018,House Ads
a100001890,1/09/2018,House Ads
a100001891,1/10/2018,House Ads
a100001892,1/11/2018,House Ads
a100001893,1/12/2018,House Ads
a100001923,1/01/2018,House Ads
a100001924,1/02/2018,House Ads
a100001925,1/03/2018,House Ads
a100001926,1/04/2018,House Ads
a100001927,1/05/2018,House Ads
a100001928,1/06/2018,House Ads
a100001929,1/07/2018,House Ads
a100001930,1/08/2018,House Ads
a100001931,1/09/2018,House Ads
a100001932,1/10/2018,House Ads
a100001933,1/11/2018,House Ads
a100001934,1/12/2018,House Ads
a100001936,1/08/2018,House Ads
a100001937,1/09/2018,House Ads
a100001938,1/10/2018,House Ads
a100001939,1/11/2018,House Ads
a100001940,1/08/2018,House Ads
a100001941,1/09/2018,House Ads
a100001942,1/10/2018,House Ads
a100001943,1/11/2018,House Ads
a100001944,1/08/2018,House Ads
a100001945,1/09/2018,House Ads
a100001946,1/10/2018,House Ads
a100001947,1/11/2018,House Ads
a100001948,1/08/2018,House Ads
a100001949,1/09/2018,House Ads
a100001950,1/10/2018,House Ads
a100001951,1/11/2018,House Ads
a100001952,1/08/2018,House Ads
a100001953,1/09/2018,House Ads
a100001954,1/10/2018,House Ads
a100001955,1/11/2018,House Ads
a100001956,1/01/2018,House Ads
a100001957,1/01/2018,House Ads
a100001958,1/01/2018,House Ads
a100001959,1/01/2018,House Ads
a100001960,1/01/2018,House Ads
a100001961,1/02/2018,House Ads
a100001962,1/02/2018,House Ads
a100001963,1/02/2018,House Ads
a100001964,1/02/2018,House Ads
a100001965,1/02/2018,House Ads
a100001966,1/02/2018,House Ads
a100001967,1/02/2018,House Ads
a100001999,1/01/2018,Facebook
a100002000,1/01/2018,House Ads
a100002001,1/01/2018,House Ads
a100002002,1/01/2018,House Ads
a100002003,1/01/2018,Push
a100002004,1/01/2018,Facebook
a100002005,1/01/2018,Instagram
a100002006,1/02/2018,Instagram
a100002007,1/02/2018,Facebook
a100002008,1/02/2018,House Ads
a100002009,1/02/2018,House Ads
a100002010,1/02/2018,House Ads
a100002011,1/02/2018,Push
a100002012,1/02/2018,Facebook
a100002013,1/03/2018,Instagram
a100002014,1/03/2018,Instagram
a100002015,1/03/2018,Facebook
a100002016,1/03/2018,House Ads
a100002017,1/03/2018,House Ads
a100002018,1/03/2018,House Ads
a100002019,1/03/2018,Push
a100002020,1/04/2018,Facebook
a100002021,1/04/2018,Instagram
a100002022,1/04/2018,Instagram
a100002023,1/04/2018,Facebook
a100002024,1/04/2018,House Ads
a100002024,1/01/2018,House Ads
a100002025,1/04/2018,House Ads
a100002025,1/02/2018,House Ads
a100002026,1/04/2018,House Ads
a100002026,1/03/2018,House Ads
a100002027,1/05/2018,Push
a100002027,1/04/2018,House Ads
a100002028,1/05/2018,Facebook
a100002028,1/05/2018,House Ads
a100002029,1/05/2018,Instagram
a100002029,1/06/2018,House Ads
a100002030,1/05/2018,Instagram
a100002030,1/07/2018,House Ads
a100002031,1/05/2018,Facebook
a100002031,1/08/2018,House Ads
a100002032,1/05/2018,House Ads
a100002032,1/09/2018,House Ads
a100002033,1/05/2018,House Ads
a100002033,1/10/2018,House Ads
a100002034,1/06/2018,House Ads
a100002034,1/11/2018,House Ads
a100002035,1/06/2018,Push
a100002035,1/12/2018,House Ads
a100002036,1/06/2018,Facebook
a100002037,1/06/2018,Instagram
a100002038,1/06/2018,Instagram
a100002039,1/06/2018,Facebook
a100002040,1/06/2018,House Ads
a100002041,1/07/2018,House Ads
a100002042,1/07/2018,House Ads
a100002043,1/07/2018,Push
a100002044,1/07/2018,Facebook
a100002045,1/07/2018,Instagram
a100002046,1/07/2018,Instagram
a100002047,1/08/2018,Facebook
a100002048,1/08/2018,House Ads
a100002049,1/08/2018,House Ads
a100002050,1/08/2018,House Ads
a100002051,1/08/2018,Push
a100002052,1/08/2018,Facebook
a100002053,1/08/2018,Instagram
a100002054,1/09/2018,Instagram
a100002055,1/09/2018,Facebook
a100002055,1/01/2018,House Ads
a100002056,1/09/2018,House Ads
a100002056,1/02/2018,House Ads
a100002057,1/09/2018,House Ads
a100002057,1/03/2018,House Ads
a100002058,1/09/2018,House Ads
a100002058,1/04/2018,House Ads
a100002059,1/09/2018,Push
a100002059,1/05/2018,House Ads
a100002060,1/09/2018,Facebook
a100002060,1/06/2018,House Ads
a100002061,1/10/2018,Instagram
a100002061,1/07/2018,House Ads
a100002062,1/10/2018,Instagram
a100002062,1/08/2018,House Ads
a100002063,1/10/2018,Facebook
a100002063,1/09/2018,House Ads
a100002064,1/10/2018,House Ads
a100002064,1/10/2018,House Ads
a100002065,1/10/2018,House Ads
a100002065,1/11/2018,House Ads
a100002066,1/10/2018,House Ads
a100002066,1/12/2018,House Ads
a100002067,1/10/2018,Push
a100002068,1/11/2018,Facebook
a100002069,1/11/2018,Instagram
a100002070,1/11/2018,Instagram
a100002071,1/11/2018,Facebook
a100002072,1/11/2018,House Ads
a100002073,1/11/2018,House Ads
a100002074,1/11/2018,House Ads
a100002075,1/12/2018,Push
a100002076,1/12/2018,Facebook
a100002077,1/12/2018,Instagram
a100002078,1/12/2018,Instagram
a100002079,1/12/2018,Facebook
a100002080,1/12/2018,House Ads
a100002081,1/12/2018,House Ads
a100002086,1/01/2018,House Ads
a100002087,1/02/2018,House Ads
a100002088,1/03/2018,House Ads
a100002089,1/04/2018,House Ads
a100002090,1/05/2018,House Ads
a100002091,1/06/2018,House Ads
a100002092,1/07/2018,House Ads
a100002093,1/08/2018,House Ads
a100002094,1/09/2018,House Ads
a100002095,1/10/2018,House Ads
a100002096,1/11/2018,House Ads
a100002097,1/12/2018,House Ads
a100002117,1/01/2018,House Ads
a100002118,1/02/2018,House Ads
a100002119,1/03/2018,House Ads
a100002120,1/04/2018,House Ads
a100002121,1/05/2018,House Ads
a100002122,1/06/2018,House Ads
a100002123,1/07/2018,House Ads
a100002124,1/08/2018,House Ads
a100002125,1/09/2018,House Ads
a100002126,1/10/2018,House Ads
a100002127,1/11/2018,House Ads
a100002128,1/12/2018,House Ads
a100002148,1/01/2018,House Ads
a100002149,1/02/2018,House Ads
a100002150,1/03/2018,House Ads
a100002151,1/04/2018,House Ads
a100002152,1/05/2018,House Ads
a100002153,1/06/2018,House Ads
a100002154,1/07/2018,House Ads
a100002155,1/08/2018,House Ads
a100002156,1/09/2018,House Ads
a100002157,1/10/2018,House Ads
a100002158,1/11/2018,House Ads
a100002159,1/12/2018,House Ads
a100002179,1/01/2018,House Ads
a100002180,1/02/2018,House Ads
a100002181,1/03/2018,House Ads
a100002182,1/04/2018,House Ads
a100002183,1/05/2018,House Ads
a100002184,1/06/2018,House Ads
a100002185,1/07/2018,House Ads
a100002186,1/08/2018,House Ads
a100002187,1/09/2018,House Ads
a100002188,1/10/2018,House Ads
a100002189,1/11/2018,House Ads
a100002190,1/12/2018,House Ads
a100002210,1/01/2018,House Ads
a100002211,1/02/2018,House Ads
a100002212,1/03/2018,House Ads
a100002213,1/04/2018,House Ads
a100002214,1/05/2018,House Ads
a100002215,1/06/2018,House Ads
a100002216,1/01/2018,House Ads
a100002216,1/07/2018,House Ads
a100002217,1/01/2018,House Ads
a100002217,1/08/2018,House Ads
a100002218,1/01/2018,House Ads
a100002218,1/09/2018,House Ads
a100002219,1/01/2018,Push
a100002219,1/10/2018,House Ads
a100002220,1/01/2018,Facebook
a100002220,1/11/2018,House Ads
a100002221,1/01/2018,Instagram
a100002221,1/12/2018,House Ads
a100002222,1/01/2018,Instagram
a100002223,1/02/2018,Facebook
a100002224,1/02/2018,House Ads
a100002225,1/02/2018,House Ads
a100002226,1/02/2018,House Ads
